,Name,Age,Height,Weight,NOC,Year,City,Sport,Event,Medal,Times_Participated,Participation_Number
265,Giordano Giulio Abbondati,15.0,175.0,64.0,ITA,1964,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,2,1
266,Giordano Giulio Abbondati,19.0,175.0,64.0,ITA,1968,Grenoble,Figure Skating,Figure Skating Men's Singles,no medal,2,2
276,Jeremy Abbott,24.0,175.0,70.0,USA,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,no medal,3,2
277,Jeremy Abbott,28.0,175.0,70.0,USA,2014,Sochi,Figure Skating,Figure Skating Men's Singles,no medal,3,3
278,Jeremy Abbott,28.0,175.0,70.0,USA,2014,Sochi,Figure Skating,Figure Skating Mixed Team,Bronze,3,3
1053,"Aleksandr Viktorovich ""Sasha"" Abt",25.0,179.0,68.0,RUS,2002,Salt Lake City,Figure Skating,Figure Skating Men's Singles,no medal,1,1
2138,"Benjamin Alexandro ""Ben"" Agosto",24.0,178.0,75.0,USA,2006,Torino,Figure Skating,Figure Skating Mixed Ice Dancing,Silver,2,1
2139,"Benjamin Alexandro ""Ben"" Agosto",28.0,178.0,75.0,USA,2010,Vancouver,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,2,2
2920,Lars Arne kesson,20.0,180.0,68.0,SWE,1984,Sarajevo,Figure Skating,Figure Skating Men's Singles,no medal,1,1
4418,Boycho Aleksiev,24.0,173.39762611275964,65.59163987138264,BUL,1988,Calgary,Figure Skating,Figure Skating Men's Singles,no medal,1,1
5041,"Scott Ethan ""Scotty"" Allen",14.0,163.0,69.0,USA,1964,Innsbruck,Figure Skating,Figure Skating Men's Singles,Bronze,1,1
5100,Yves llig,19.0,177.84100418410043,73.86238532110092,SUI,1964,Innsbruck,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
5849,Shin Amano,24.0,174.0,62.0,JPN,1998,Nagano,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
6203,Florent Amodio,19.0,164.0,56.0,FRA,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,no medal,2,1
6204,Florent Amodio,23.0,164.0,56.0,FRA,2014,Sochi,Figure Skating,Figure Skating Men's Singles,no medal,2,2
6205,Florent Amodio,23.0,164.0,56.0,FRA,2014,Sochi,Figure Skating,Figure Skating Mixed Team,no medal,2,2
6576,Gnter Anderl,21.0,182.0,65.0,AUT,1968,Grenoble,Figure Skating,Figure Skating Men's Singles,no medal,2,1
6577,Gnter Anderl,25.0,182.0,65.0,AUT,1972,Sapporo,Figure Skating,Figure Skating Men's Singles,no medal,2,2
7890,Aleksandr Petrovich Anichenko,22.0,178.0,78.0,AZE,1998,Nagano,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
8958,Patrice Archetto,29.0,178.0,78.0,CAN,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
10257,Paul Askham,25.0,173.0,66.0,GBR,1988,Calgary,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
10953,Verners Auls,46.0,173.39762611275964,65.59163987138264,LAT,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Men's Singles,no medal,1,1
11154,Ilya Izyaslavovich Averbukh,24.0,177.0,68.0,RUS,1998,Nagano,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,2,1
11155,Ilya Izyaslavovich Averbukh,28.0,177.0,68.0,RUS,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,Silver,2,2
11653,Vazgen Azroyan,29.0,184.0,75.0,ARM,2006,Torino,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
11928,Paolo Luca Bacchini,24.0,168.0,64.0,ITA,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,no medal,1,1
12290,Sherwin Campbell Badger,26.0,173.39762611275964,65.59163987138264,USA,1928,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,no medal,2,1
12291,Sherwin Campbell Badger,26.0,177.84100418410043,73.86238532110092,USA,1928,Sankt Moritz,Figure Skating,Figure Skating Mixed Pairs,no medal,2,1
12292,Sherwin Campbell Badger,30.0,177.84100418410043,73.86238532110092,USA,1932,Lake Placid,Figure Skating,Figure Skating Mixed Pairs,Silver,2,2
12599,Ernst Baier,26.0,173.39762611275964,65.59163987138264,GER,1932,Lake Placid,Figure Skating,Figure Skating Men's Singles,no medal,2,1
12600,Ernst Baier,30.0,173.39762611275964,65.59163987138264,GER,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Men's Singles,Silver,2,2
12601,Ernst Baier,30.0,177.84100418410043,73.86238532110092,GER,1936,Garmisch-Partenkirchen,Figure Skating,Figure Skating Mixed Pairs,Gold,2,2
13322,"John Martin Baldwin, Jr.",32.0,175.0,74.0,USA,2006,Torino,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
13872,Chauncey Robert Bangs,30.0,177.84100418410043,73.86238532110092,CAN,1932,Lake Placid,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
14217,Vitaliy Baranov,27.0,180.0,70.71122994652407,GBR,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
14369,Louis Barbey,39.0,177.84100418410043,73.86238532110092,SUI,1928,Sankt Moritz,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
15005,Jeremy Barrett,25.0,175.0,75.0,USA,2010,Vancouver,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
15334,Nathan Bartholomay,24.0,175.0,81.0,USA,2014,Sochi,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
15861,Evan Bates,20.0,188.0,81.0,USA,2010,Vancouver,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,2,1
15862,Evan Bates,24.0,188.0,81.0,USA,2014,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,2,2
16261,Pierre Baugniet,22.0,177.84100418410043,73.86238532110092,BEL,1948,Sankt Moritz,Figure Skating,Figure Skating Mixed Pairs,Gold,1,1
16388,Hans-Jrgen Bumler,18.0,176.0,74.0,GER,1960,Squaw Valley,Figure Skating,Figure Skating Mixed Pairs,Silver,2,1
16389,Hans-Jrgen Bumler,21.0,176.0,74.0,GER,1964,Innsbruck,Figure Skating,Figure Skating Mixed Pairs,Silver,2,2
16802,Gary Beacom,23.0,180.0,67.0,CAN,1984,Sarajevo,Figure Skating,Figure Skating Men's Singles,no medal,1,1
17102,Pierre Bchu,24.0,178.0,69.0,FRA,1984,Sarajevo,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
17125,Christoff Beck,24.0,185.0,79.0,AUT,1988,Calgary,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
17747,William Beier,27.0,172.0,64.0,GER,2010,Vancouver,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
17887,Andriy Bekh,22.0,183.0,75.0,UKR,2006,Torino,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
18065,Alexei Beletsky,22.0,177.0,70.71122994652407,ISR,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
19577,Ulf Georg Simon Sigfrid Berendt,21.0,177.84100418410043,73.86238532110092,SWE,1952,Oslo,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
19795,Alfred Berger,29.0,177.84100418410043,73.86238532110092,AUT,1924,Chamonix,Figure Skating,Figure Skating Mixed Pairs,Gold,1,1
20208,Stphane Bernadis,23.0,180.0,80.0,FRA,1998,Nagano,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
20341,"Douglas Brian ""Doug"" Berndt",22.0,180.0,67.0,USA,1972,Sapporo,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
20418,Johan Kristoffer Berntsson,23.0,176.0,73.0,SWE,2006,Torino,Figure Skating,Figure Skating Men's Singles,no medal,1,1
20872,Jozef Bestndig,23.0,173.0,66.0,SVK,2002,Salt Lake City,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
21147,Val Nicholas Bezic,19.0,185.0,75.0,CAN,1972,Sapporo,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
21628,Wilhelm Bietak,16.0,183.0,77.0,AUT,1964,Innsbruck,Figure Skating,Figure Skating Mixed Pairs,no medal,2,1
21629,Wilhelm Bietak,20.0,183.0,77.0,AUT,1968,Grenoble,Figure Skating,Figure Skating Mixed Pairs,no medal,2,2
23910,Bodo Bockenauer,19.0,173.39762611275964,65.59163987138264,GER,1960,Squaw Valley,Figure Skating,Figure Skating Men's Singles,no medal,1,1
23920,"Wilhelm Richard ""Willy"" Bckl",30.0,173.39762611275964,65.59163987138264,AUT,1924,Chamonix,Figure Skating,Figure Skating Men's Singles,Silver,2,1
23921,"Wilhelm Richard ""Willy"" Bckl",35.0,173.39762611275964,65.59163987138264,AUT,1928,Sankt Moritz,Figure Skating,Figure Skating Men's Singles,Silver,2,2
24502,"Stanislav ""Stan"" Bohonek",23.0,173.39762611275964,65.59163987138264,CAN,1976,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,1,1
24596,Brian Anthony Boitano,20.0,180.0,75.0,USA,1984,Sarajevo,Figure Skating,Figure Skating Men's Singles,no medal,3,1
24597,Brian Anthony Boitano,24.0,180.0,75.0,USA,1988,Calgary,Figure Skating,Figure Skating Men's Singles,Gold,3,2
24598,Brian Anthony Boitano,30.0,180.0,75.0,USA,1994,Lillehammer,Figure Skating,Figure Skating Men's Singles,no medal,3,3
24622,Piotr Pawe Bojaczyk,29.0,172.0,67.0,POL,1976,Innsbruck,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,1,1
25221,Yannick Bonheur,23.0,183.0,82.0,FRA,2006,Torino,Figure Skating,Figure Skating Mixed Pairs,no medal,2,1
25222,Yannick Bonheur,27.0,183.0,82.0,FRA,2010,Vancouver,Figure Skating,Figure Skating Mixed Pairs,no medal,2,2
25496,Michael Robert Booker,18.0,173.39762611275964,65.59163987138264,GBR,1956,Cortina d'Ampezzo,Figure Skating,Figure Skating Men's Singles,no medal,1,1
25696,"Gail Borden, II",24.0,173.39762611275964,65.59163987138264,USA,1932,Lake Placid,Figure Skating,Figure Skating Men's Singles,no medal,1,1
25817,Ralph Borghard,19.0,170.0,68.0,GER,1964,Innsbruck,Figure Skating,Figure Skating Men's Singles,no medal,1,1
26029,Artyom Igorevich Borodulin,20.0,177.0,68.0,RUS,2010,Vancouver,Figure Skating,Figure Skating Men's Singles,no medal,1,1
26654,Michael C. Botticelli,20.0,177.84100418410043,73.86238532110092,USA,1980,Lake Placid,Figure Skating,Figure Skating Mixed Pairs,no medal,1,1
27213,Fabian Bourzat,25.0,180.0,74.0,FRA,2006,Torino,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,3,1
27214,Fabian Bourzat,29.0,180.0,74.0,FRA,2010,Vancouver,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,3,2
27215,Fabian Bourzat,33.0,180.0,74.0,FRA,2014,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,no medal,3,3
27216,Fabian Bourzat,33.0,180.0,74.0,FRA,2014,Sochi,Figure Skating,Figure Skating Mixed Team,no medal,3,3
